area_km2,klc_id,klc_name,year,pa,area_loss
14744.70602415394,SAF_05,Maloti-Drakensberg,2014,total,1.6905328968505864
14744.70602415394,SAF_05,Maloti-Drakensberg,2014,inside,0.16828192340063955
14744.70602415394,SAF_05,Maloti-Drakensberg,2014,outside,1.5222509734499468
14744.70602415394,SAF_05,Maloti-Drakensberg,2015,total,0.978843019826613
14744.70602415394,SAF_05,Maloti-Drakensberg,2015,inside,0.062387853759286925
14744.70602415394,SAF_05,Maloti-Drakensberg,2015,outside,0.9164551660673261
14744.70602415394,SAF_05,Maloti-Drakensberg,2016,total,2.403101651701086
14744.70602415394,SAF_05,Maloti-Drakensberg,2016,inside,0.2779397731115005
14744.70602415394,SAF_05,Maloti-Drakensberg,2016,outside,2.1251618785895854
14744.70602415394,SAF_05,Maloti-Drakensberg,2017,total,2.721964334129185
14744.70602415394,SAF_05,Maloti-Drakensberg,2017,inside,0.1781247117086972
14744.70602415394,SAF_05,Maloti-Drakensberg,2017,outside,2.5438396224204878
14744.70602415394,SAF_05,Maloti-Drakensberg,2018,total,1.654604261665614
14744.70602415394,SAF_05,Maloti-Drakensberg,2018,inside,0.05409678602797565
14744.70602415394,SAF_05,Maloti-Drakensberg,2018,outside,1.6005074756376383
14744.70602415394,SAF_05,Maloti-Drakensberg,2019,total,2.738318425336531
14744.70602415394,SAF_05,Maloti-Drakensberg,2019,inside,0.30301315162951903
14744.70602415394,SAF_05,Maloti-Drakensberg,2019,outside,2.4353052737070118
14744.70602415394,SAF_05,Maloti-Drakensberg,2020,total,2.779155320344332
14744.70602415394,SAF_05,Maloti-Drakensberg,2020,inside,0.22072865164124733
14744.70602415394,SAF_05,Maloti-Drakensberg,2020,outside,2.5584266687030848
42794.86073671835,WAF_18,Lake Chad,2001,total,0
42794.86073671835,WAF_18,Lake Chad,2001,inside,0
42794.86073671835,WAF_18,Lake Chad,2001,outside,0
42794.86073671835,WAF_18,Lake Chad,2002,total,0
42794.86073671835,WAF_18,Lake Chad,2002,inside,0
42794.86073671835,WAF_18,Lake Chad,2002,outside,0
42794.86073671835,WAF_18,Lake Chad,2003,total,0
42794.86073671835,WAF_18,Lake Chad,2003,inside,0
42794.86073671835,WAF_18,Lake Chad,2003,outside,0
42794.86073671835,WAF_18,Lake Chad,2004,total,0.004354546691894531
42794.86073671835,WAF_18,Lake Chad,2004,inside,0
42794.86073671835,WAF_18,Lake Chad,2004,outside,0.004354546691894531
42794.86073671835,WAF_18,Lake Chad,2005,total,0
42794.86073671835,WAF_18,Lake Chad,2005,inside,0
42794.86073671835,WAF_18,Lake Chad,2005,outside,0
42794.86073671835,WAF_18,Lake Chad,2006,total,0
